"country","year","pop","svet_pop","podil_na_sv_p"
"Germany",1952,69145952,2406957150,0.02873
"United Kingdom",1952,50430000,2406957150,0.02095
"Italy",1952,47666000,2406957150,0.0198
"France",1952,42459667,2406957150,0.01764
"Spain",1952,28549870,2406957150,0.01186
"Poland",1952,25730551,2406957150,0.01069
"Turkey",1952,22235677,2406957150,0.00924
"Romania",1952,16630000,2406957150,0.00691
"Netherlands",1952,10381988,2406957150,0.00431
"Hungary",1952,9504000,2406957150,0.00395
"Czech Republic",1952,9125183,2406957150,0.00379
"Belgium",1952,8730405,2406957150,0.00363
"Portugal",1952,8526050,2406957150,0.00354
"Greece",1952,7733250,2406957150,0.00321
"Bulgaria",1952,7274900,2406957150,0.00302
"Sweden",1952,7124673,2406957150,0.00296
"Austria",1952,6927772,2406957150,0.00288
"Serbia",1952,6860147,2406957150,0.00285
"Switzerland",1952,4815000,2406957150,0.002
"Denmark",1952,4334000,2406957150,0.0018
"Finland",1952,4090500,2406957150,0.0017
"Croatia",1952,3882229,2406957150,0.00161
"Slovak Republic",1952,3558137,2406957150,0.00148
"Norway",1952,3327728,2406957150,0.00138
"Ireland",1952,2952156,2406957150,0.00123
"Bosnia and Herzegovina",1952,2791000,2406957150,0.00116
"Slovenia",1952,1489518,2406957150,0.00062
"Albania",1952,1282697,2406957150,0.00053
"Montenegro",1952,413834,2406957150,0.00017
"Iceland",1952,147962,2406957150,6e-05
"Germany",1957,71019069,2664404580,0.02665
"United Kingdom",1957,51430000,2664404580,0.0193
"Italy",1957,49182000,2664404580,0.01846
"France",1957,44310863,2664404580,0.01663
"Spain",1957,29841614,2664404580,0.0112
"Poland",1957,28235346,2664404580,0.0106
"Turkey",1957,25670939,2664404580,0.00963
"Romania",1957,17829327,2664404580,0.00669
"Netherlands",1957,11026383,2664404580,0.00414
"Hungary",1957,9839000,2664404580,0.00369
"Czech Republic",1957,9513758,2664404580,0.00357
"Belgium",1957,8989111,2664404580,0.00337
"Portugal",1957,8817650,2664404580,0.00331
"Greece",1957,8096218,2664404580,0.00304
"Bulgaria",1957,7651254,2664404580,0.00287
"Sweden",1957,7363802,2664404580,0.00276
"Serbia",1957,7271135,2664404580,0.00273
"Austria",1957,6965860,2664404580,0.00261
"Switzerland",1957,5126000,2664404580,0.00192
"Denmark",1957,4487831,2664404580,0.00168
"Finland",1957,4324000,2664404580,0.00162
"Croatia",1957,3991242,2664404580,0.0015
"Slovak Republic",1957,3844277,2664404580,0.00144
"Norway",1957,3491938,2664404580,0.00131
"Bosnia and Herzegovina",1957,3076000,2664404580,0.00115
"Ireland",1957,2878220,2664404580,0.00108
"Slovenia",1957,1533070,2664404580,0.00058
