"obce","Počet obyvatel dle Sčítání lidu 1991","kraj","orp","okres"
"Abertamy","1 052,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","5 089,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","122,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","489,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","535,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","486,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","3 904,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","1 012,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","897,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","332,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","698,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","197,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","384,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","165,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","196,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","906,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","88,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","228,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","261,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","12 285,00","Karlovarský kraj","AŠ","Cheb"
"Babice","216,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","230,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","62,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","186,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 627,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","394,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","834,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","474,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","242,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","173,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","382,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","231,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","147,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","163,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","65,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","4 369,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","112,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","122,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","276,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","2 053,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","112,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","194,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","277,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","146,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","202,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","454,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","1 464,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","219,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","148,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","2 874,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","209,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","555,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","2 286,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","675,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","1 475,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","391,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","151,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","414,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","77,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","224,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 082,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","6 151,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","67,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","104,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","1 804,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","1 086,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","1 022,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","1 026,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","124,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","183,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
