"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Abertamy","1 418,00","120,00","251,00","525,00","469,00","29,00","24,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","4 864,00","731,00","699,00","1 593,00","1 562,00","150,00","129,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","107,00","26,00","12,00","35,00","28,00","2,00","4,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","532,00","51,00","64,00","183,00","194,00","21,00","19,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","518,00","42,00","65,00","199,00","172,00","23,00","17,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","479,00","58,00","63,00","174,00","159,00","12,00","13,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","3 967,00","495,00","592,00","1 384,00","1 300,00","90,00","106,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","1 066,00","203,00","132,00","340,00","328,00","34,00","29,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","831,00","160,00","105,00","271,00","238,00","28,00","29,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","335,00","46,00","57,00","113,00","99,00","12,00","8,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","670,00","113,00","88,00","225,00","214,00","14,00","16,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","233,00","37,00","25,00","71,00","80,00","10,00","10,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","368,00","39,00","49,00","133,00","129,00","9,00","9,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","234,00","31,00","32,00","75,00","70,00","13,00","13,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","196,00","18,00","24,00","39,00","98,00","10,00","7,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","876,00","166,00","110,00","284,00","274,00","19,00","23,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","88,00","27,00","8,00","24,00","27,00","0,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","176,00","18,00","25,00","60,00","60,00","5,00","8,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","314,00","26,00","53,00","118,00","97,00","10,00","10,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","12 957,00","1 523,00","1 983,00","4 331,00","4 407,00","382,00","331,00","Karlovarský kraj","AŠ","Cheb"
