"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet uchazečů o zaměstnání","kraj","orp","okres","Počet dokončených bytů"
"Abertamy","1 447,00","126,00","242,00","557,00","466,00","31,00","25,00","89,00","Karlovarský kraj","OSTROV","Karlovy Vary",NA
"Adamov","4 815,00","743,00","678,00","1 579,00","1 521,00","157,00","137,00","161,00","Jihomoravský kraj","BLANSKO","Blansko","1,00"
"Adamov","118,00","28,00","17,00","37,00","30,00","2,00","4,00","8,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA
"Adamov","538,00","56,00","63,00","189,00","188,00","23,00","19,00","10,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","3,00"
"Adršpach","540,00","49,00","57,00","203,00","192,00","19,00","20,00","13,00","Královéhradecký kraj","BROUMOV","Náchod",NA
"Albrechtice","480,00","54,00","72,00","164,00","154,00","20,00","16,00","17,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA
"Albrechtice","3 969,00","510,00","597,00","1 373,00","1 294,00","96,00","99,00","232,00","Moravskoslezský kraj","HAVÍŘOV","Karviná","2,00"
"Albrechtice nad Orlicí","1 059,00","204,00","126,00","338,00","324,00","36,00","31,00","10,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou","1,00"
"Albrechtice nad Vltavou","842,00","168,00","97,00","275,00","238,00","30,00","34,00","18,00","Jihočeský kraj","PÍSEK","Písek","2,00"
"Albrechtice v Jizerských horách","318,00","43,00","49,00","107,00","97,00","15,00","7,00","13,00","Liberecký kraj","TANVALD","Jablonec n.Nisou","11,00"
"Albrechtičky","691,00","115,00","79,00","245,00","217,00","17,00","18,00","23,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín","1,00"
"Alojzov","229,00","41,00","23,00","72,00","79,00","7,00","7,00","6,00","Olomoucký kraj","PROSTĚJOV","Prostějov","2,00"
"Andělská Hora","365,00","38,00","47,00","130,00","129,00","13,00","8,00","28,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA
"Andělská Hora","241,00","30,00","36,00","74,00","77,00","11,00","13,00","7,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary","1,00"
"Anenská Studánka","191,00","17,00","24,00","41,00","93,00","9,00","7,00","7,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí","1,00"
"Archlebov","861,00","165,00","99,00","280,00","269,00","20,00","28,00","39,00","Jihomoravský kraj","KYJOV","Hodonín",NA
"Arneštovice","87,00","27,00","8,00","23,00","27,00","0,00","2,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Arnolec","180,00","22,00","29,00","59,00","60,00","3,00","7,00","5,00","Vysočina","JIHLAVA","Jihlava",NA
"Arnoltice","308,00","24,00","51,00","114,00","97,00","10,00","12,00","22,00","Ústecký kraj","DĚČÍN","Děčín","1,00"
"Aš","13 261,00","1 565,00","2 052,00","4 421,00","4 454,00","428,00","341,00","345,00","Karlovarský kraj","AŠ","Cheb","9,00"
"Babice","199,00","34,00","19,00","68,00","64,00","8,00","6,00","7,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové",NA
"Babice","201,00","29,00","26,00","68,00","61,00","8,00","9,00","14,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč","2,00"
"Babice","91,00","16,00","22,00","28,00","22,00","1,00","2,00","1,00","Jihočeský kraj","PRACHATICE","Prachatice",NA
"Babice","430,00","43,00","87,00","140,00","132,00","15,00","13,00","2,00","Středočeský kraj","ŘÍČANY","Praha-východ","2,00"
"Babice","1 754,00","246,00","240,00","593,00","581,00","49,00","45,00","47,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště","23,00"
"Babice","418,00","49,00","62,00","146,00","133,00","14,00","14,00","18,00","Olomoucký kraj","ŠTERNBERK","Olomouc",NA
