"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Abertamy","18 764,23","11 660,78","338,40","6 195,76","3 330,32","3 203,41","1 255,23","1,00","1 449,00","122,00","250,00","562,00","452,00","33,00","30,00","505,00","89,00","1 593,63","22 653,58","146,00","559,03","21 059,95","22 094,55","161,00","12,00","29,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","50 216,22","40 713,79","230,00","18 010,88","8 398,09","12 087,70","3 427,49","3,00","4 720,00","758,00","649,00","1 548,00","1 464,00","161,00","140,00","838,00","182,00","3 657,49","74 469,85","137,00","15 855,54","70 812,37","58 614,31","240,00","46,00","54,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","1 073,22","958,35","0,00","0,00","36,94","24,20","150,96",NA,"119,00","27,00","19,00","33,00","30,00","2,00","8,00","21,00","5,00","150,96","1 133,51","3,00","23,35","982,55","1 110,16","1,00","2,00","1,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","4 933,17","4 820,20","1 496,89","2 324,12","4 379,26","392,41","137,26","3,00","540,00","62,00","64,00","186,00","190,00","20,00","18,00","128,00","11,00","1 634,15","9 170,88","17,00","-141,55","7 536,73","9 312,43","14,00","7,00","6,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","12 934,13","6 041,88","3 201,08","188,76","17 730,88","14 001,32","140,53","2,00","556,00","51,00","56,00","205,00","204,00","19,00","21,00","105,00","21,00","3 341,61","23 573,57","29,00","-7 091,44","20 231,96","30 665,01","16,00","3,00","6,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","2 350,31","4 133,47","100,00","178,48","2 959,44","359,39","127,88","3,00","474,00","54,00","73,00","157,00","152,00","21,00","17,00","93,00","17,00","227,88","4 899,22","16,00","-410,53","4 671,34","5 309,75","17,00","9,00","4,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","34 996,66","31 197,83","189,35","9,16","3 073,83","7 070,90","4 944,99","7,00","3 990,00","526,00","586,00","1 378,00","1 292,00","111,00","97,00","539,00","195,00","5 134,34","43 412,23","74,00","5 341,74","38 277,89","38 070,49","60,00","30,00","37,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","7 638,60","8 460,66","0,00","991,32","5 277,21","2 206,08","364,59",NA,"1 033,00","210,00","109,00","336,00","316,00","35,00","27,00","212,00","10,00","364,59","12 022,65","19,00","-893,16","11 658,06","12 915,81","32,00","17,00","4,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","9 861,68","10 192,83","138,86","948,21","4 115,81","2 169,85","706,76","2,00","844,00","162,00","105,00","265,00","239,00","29,00","44,00","228,00","23,00","845,62","14 156,51","34,00","179,02","13 310,89","13 977,49","27,00","16,00","11,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","10 939,01","4 642,05","0,00","10 550,39","69,00","1 956,15","397,59","3,00","321,00","48,00","44,00","104,00","100,00","13,00","12,00","116,00","12,00","397,59","17 546,18","15,00","6 538,17","17 148,59","11 008,01","10,00","4,00","2,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","5 103,90","5 036,98","250,00","55,11","1 060,89","1 208,62","410,61","5,00","690,00","112,00","91,00","228,00","218,00","24,00","17,00","123,00","21,00","660,61","6 961,32","34,00","796,53","6 300,71","6 164,79","35,00","8,00","8,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","2 157,61","2 049,12","0,00","0,00","533,37","365,22","79,89","3,00","243,00","46,00","26,00","75,00","81,00","9,00","6,00","58,00","7,00","79,89","2 494,23","13,00","-196,75","2 414,34","2 690,98","1,00","2,00","4,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","12 642,02","4 173,59","0,00","2 114,43","3 597,40","935,11","3 003,67",NA,"369,00","36,00","50,00","131,00","129,00","14,00","9,00","88,00","29,00","3 003,67","10 226,80","12,00","-6 012,62","7 223,13","16 239,42","10,00","4,00","6,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","3 346,25","2 103,54","127,60","1 444,18","1 850,85","891,15","94,20","1,00","250,00","41,00","36,00","78,00","77,00","9,00","9,00","66,00","7,00","221,80","4 660,67","16,00","-536,43","4 438,87","5 197,10","8,00","2,00","3,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","2 264,93","1 930,53","0,00","1,93","0,00","636,20","30,63",NA,"192,00","21,00","27,00","42,00","86,00","10,00","6,00","16,00","5,00","30,63","2 599,29","6,00","334,36","2 568,66","2 264,93","2,00","5,00","2,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","7 420,84","8 671,15","405,00","29,00","1 504,38","769,75","1 589,22","3,00","875,00","168,00","103,00","287,00","269,00","23,00","25,00","171,00","44,00","1 994,22","11 464,12","18,00","2 538,90","9 469,90","8 925,22","12,00","5,00","13,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","715,88","983,57","203,00","10,64","725,53","603,54","27,33",NA,"85,00","25,00","6,00","23,00","29,00","0,00","2,00","15,00","4,00","230,33","1 828,08","1,00","386,67","1 597,75","1 441,41","2,00","2,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
