"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Domy s pečovatelskou službou","Domy s pečovatelskou službou - počet bytů"
"Abertamy","19 572,03","10 508,35","31 958,89","3 876,33","43 929,74","5 128,04","909,30","0,00","1 323,00","118,00","232,00","482,00","420,00","36,00","35,00","471,00","122,00","32 868,19","52 380,91","46,00","-11 120,86","19 512,72","63 501,77","68,00","14,00","20,00","Karlovarský kraj","OSTROV","Karlovy Vary",NA,NA
"Adamov","46 667,77","35 283,50","16 192,33","1 173,26","30 378,52","15 476,06","6 274,38","19,00","4 684,00","773,00","638,00","1 500,00","1 436,00","173,00","164,00","819,00","287,00","22 466,71","74 399,53","141,00","-2 646,76","51 932,82","77 046,29","159,00","47,00","58,00","Jihomoravský kraj","BLANSKO","Blansko","1,00","27,00"
"Adamov","701,10","988,95","0,00","0,00","5,10","40,88","90,17","0,00","101,00","23,00","14,00","25,00","24,00","6,00","9,00","21,00","9,00","90,17","1 120,00","0,00","413,80","1 029,83","706,20","5,00","4,00","0,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA,NA
"Adamov","4 335,42","4 171,52","0,00","8 395,19","9 979,88","589,29","319,23","9,00","603,00","71,00","82,00","211,00","207,00","15,00","17,00","140,00","24,00","319,23","13 475,23","44,00","-840,07","13 156,00","14 315,30","8,00","7,00","6,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice",NA,NA
"Adršpach","17 431,35","6 356,17","500,00","506,41","2 204,75","13 006,30","241,97","0,00","542,00","66,00","54,00","193,00","187,00","18,00","24,00","111,00","28,00","741,97","20 610,85","17,00","974,75","19 868,88","19 636,10","8,00","3,00","8,00","Královéhradecký kraj","BROUMOV","Náchod",NA,NA
"Albrechtice","4 078,83","3 760,60","0,00","58,69","88,38","255,96","630,02","0,00","479,00","58,00","71,00","150,00","155,00","21,00","24,00","75,00","24,00","630,02","4 705,24","21,00","538,05","4 075,25","4 167,20","6,00","5,00","4,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA,NA
"Albrechtice","35 006,90","30 572,21","2 949,54","139,43","7 284,11","5 870,26","4 284,12","6,00","3 979,00","526,00","558,00","1 344,00","1 290,00","146,00","115,00","553,00","271,00","7 233,66","43 815,57","104,00","1 524,56","36 581,90","42 291,01","99,00","44,00","27,00","Moravskoslezský kraj","HAVÍŘOV","Karviná","1,00","12,00"
"Albrechtice nad Orlicí","7 416,85","7 577,86","0,00","553,53","2 776,75","1 722,23","465,74","4,00","1 032,00","213,00","111,00","318,00","315,00","37,00","38,00","215,00","35,00","465,74","10 319,36","24,00","125,76","9 853,62","10 193,60","19,00","15,00","11,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou",NA,NA
"Albrechtice nad Vltavou","11 396,61","11 576,76","0,00","301,07","994,67","2 160,77","1 242,71","1,00","835,00","162,00","104,00","264,00","227,00","30,00","48,00","207,00","36,00","1 242,71","15 281,31","31,00","2 890,03","14 038,60","12 391,28","28,00","15,00","7,00","Jihočeský kraj","PÍSEK","Písek",NA,NA
"Albrechtice v Jizerských horách","11 417,90","4 668,92","0,00","5 014,50","1 008,74","1 723,79","442,50","7,00","344,00","57,00","47,00","106,00","106,00","13,00","15,00","135,00","21,00","442,50","11 849,71","19,00","-576,93","11 407,21","12 426,64","9,00","2,00","2,00","Liberecký kraj","TANVALD","Jablonec n.Nisou",NA,NA
"Albrechtičky","5 101,70","4 478,79","2 828,84","306,13","4 266,59","1 186,25","857,25","3,00","697,00","114,00","89,00","229,00","219,00","22,00","24,00","127,00","40,00","3 686,09","9 657,26","21,00","288,97","5 971,17","9 368,29","13,00","11,00","7,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín",NA,NA
