"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet bytových domácností","Počet bytových domácností vybavených počítačem a připojením na internet","Počet dokončených bytů","Počet domů","Počet ekonomicky aktivních osob","Počet obydlených domů","Počet obyvatel","Počet obyvatel bez vzdělání","Počet obyvatel dle Sčítání lidu 2011","Počet obyvatel nad 65 let","Počet obyvatel s německou národností","Počet obyvatel s polskou národností","Počet obyvatel s romskou národností","Počet obyvatel s ukrajinskou národností","Počet obyvatel s vietnamskou národností","Počet obyvatel s vysokoškolským vzděláním","Počet obyvatel se slovenskou národností","Počet obyvatel se středoškolským vzděláním bez maturity","Počet obyvatel se středoškolským vzděláním s maturitou","Počet obyvatel se základním vzděláním","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet obyvatel, kteří neuvedli vzdělání","Počet osob dojíždějících za prací do obce","Počet osob vyjíždějících z obce za prací","Počet osob zaměstnaných v průmyslu","Počet osob zaměstnaných v zemědělství","Počet osob zaměstnaných ve službách","Počet osob zaměstnaných ve stavebnictví","Počet podnikatelských subjektů celkem","Počet rodinných domů","Počet uchazečů o zaměstnání","Počet zaměstnaných osob","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Abertamy","23 157,81","9 961,19","15 762,48","5 302,17","7 170,10","11 475,25","977,41","442,00","162,00","0,00","264,00","570,00","214,00","1 273,00","12,00","1 213,00","136,00","90,00","0,00","0,00","9,00","94,00","40,00","34,00","345,00","152,00","296,00","208,00","407,00","448,00","34,00","40,00","155,00","21,00","118,00","81,00","21,00","195,00","34,00","462,00","155,00","103,00","461,00","16 739,89","43 478,49","34,00","13 150,57","26 738,61","30 327,91","68,00","5,00","18,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","46 180,94","35 940,92","4 690,00","1 700,23","12 032,71","14 561,09","4 496,52","2 001,00","1 103,00","1,00","318,00","2 270,00","300,00","4 583,00","14,00","4 591,00","794,00","1,00","14,00","0,00","4,00","4,00","429,00","74,00","1 524,00","1 043,00","703,00","624,00","1 382,00","1 456,00","168,00","159,00","109,00","225,00","999,00","683,00","27,00","983,00","119,00","824,00","136,00","233,00","1 998,00","9 186,52","61 388,71","136,00","3 175,10","52 202,24","58 213,60","166,00","49,00","60,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","594,78","821,03","0,00","0,00","919,08","28,64","59,49","49,00","25,00","0,00","71,00","42,00","46,00","108,00","0,00","112,00","22,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","40,00","27,00","22,00","12,00","27,00","31,00","7,00","9,00","1,00",NA,"21,00","9,00","2,00","24,00","0,00","22,00","45,00","4,00","36,00","59,49","909,14","6,00","-604,67","849,67","1 513,81","6,00","2,00","0,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","4 294,23","4 267,55","0,00","353,76","668,01","173,29","292,65","216,00","129,00","11,00","210,00","344,00","191,00","654,00","1,00","627,00","77,00","4,00","1,00","1,00","0,00","0,00","94,00","4,00","170,00","164,00","74,00","93,00","221,00","228,00","18,00","17,00","20,00","4,00","141,00","75,00","6,00","172,00","31,00","141,00","189,00","16,00","317,00","292,65","5 087,23","45,00","125,05","4 794,60","4 962,18","17,00","3,00","7,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","17 274,39","6 113,71","750,00","10 034,81","10 889,39","18 607,23","178,41","205,00","118,00","0,00","173,00","269,00","110,00","516,00","4,00","511,00","66,00","3,00","3,00","0,00","0,00","0,00","24,00","8,00","186,00","102,00","92,00","50,00","172,00","181,00","21,00","26,00","34,00","348,00","34,00","122,00","9,00","63,00","8,00","107,00","88,00","28,00","246,00","928,41","35 684,15","9,00","7 520,50","34 755,75","28 163,65","16,00","6,00","2,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","2 737,44","3 886,72","100,00","11,45","354,85","264,33","448,01","160,00","91,00","1,00","147,00","237,00","124,00","481,00","0,00","469,00","58,00","0,00","1,00","0,00","8,00","0,00","32,00","10,00","164,00","90,00","94,00","73,00","146,00","150,00","26,00","28,00","11,00","16,00","109,00","92,00","16,00","74,00","11,00","77,00","120,00","22,00","215,00","548,01","4 710,50","13,00","1 618,23","4 162,50","3 092,27","7,00","7,00","4,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","34 151,05","29 187,09","1 892,58","42,25","2 315,96","6 280,76","4 254,78","1 384,00","823,00","11,00","802,00","1 852,00","739,00","3 928,00","12,00","3 795,00","534,00","0,00","669,00","0,00","1,00","0,00","331,00","93,00","1 209,00","904,00","626,00","565,00","1 258,00","1 287,00","147,00","137,00","76,00","108,00","895,00","612,00","29,00","787,00","80,00","559,00","658,00","238,00","1 634,00","6 147,36","41 657,46","124,00","5 190,51","35 510,10","36 466,95","121,00","39,00","25,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","9 968,18","7 462,58","240,85","91,88","1 729,33","1 977,12","763,22","359,00","200,00","3,00","323,00","506,00","294,00","1 020,00","3,00","1 016,00","212,00","2,00","2,00","0,00","1,00","0,00","86,00","5,00","329,00","268,00","148,00","119,00","307,00","315,00","30,00","37,00","28,00","41,00","193,00","129,00","21,00","253,00","31,00","220,00","288,00","18,00","476,00","1 004,07","10 535,63","40,00","-1 161,87","9 531,58","11 697,51","25,00","15,00","7,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","10 425,18","9 358,14","0,00","2 131,65","568,71","2 470,44","667,98","352,00","140,00","1,00","492,00","372,00","294,00","841,00","3,00","831,00","167,00","1,00","0,00","0,00","2,00","0,00","52,00","7,00","286,00","171,00","154,00","115,00","227,00","256,00","36,00","40,00","37,00","44,00","127,00","98,00","41,00","124,00","32,00","210,00","276,00","28,00","341,00","667,98","14 628,19","29,00","3 634,35","13 960,23","10 993,84","17,00","17,00","5,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","8 804,50","5 469,55","100,00","2 016,92","2 615,45","2 872,18","632,70","125,00","53,00","3,00","182,00","164,00","104,00","346,00","2,00","351,00","55,00","4,00","0,00","0,00","2,00","0,00","26,00","4,00","100,00","92,00","62,00","46,00","102,00","112,00","14,00","17,00","16,00","19,00","34,00","29,00","1,00","79,00","13,00","142,00","93,00","20,00","144,00","732,70","11 091,33","17,00","-328,58","10 358,65","11 419,91","17,00","4,00","5,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
