"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet lůžek v ubytovacích zařízeních","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnik. subjektů - Administrativní a podpůrné činnosti","Počet podnik. subjektů - Činn.domác. jako zaměstnavatelů,činn.dom.produk.výr.a služ","Počet podnik. subjektů - Činnosti exteritoriálních organizací a orgánů","Počet podnik. subjektů - Činnosti v oblasti nemovitostí","Počet podnik. subjektů - Doprava a skladování","Počet podnik. subjektů - Informační a komunikační činnosti","Počet podnik. subjektů - Kulturní, zábavní a rekreační činnosti","Počet podnik. subjektů - Nezařazeno","Počet podnik. subjektů - Nezjištěno","Počet podnik. subjektů - Ostatní činnosti","Počet podnik. subjektů - Peněžnictví a pojišťovnictví","Počet podnik. subjektů - Profesní, vědecké a technické činnosti","Počet podnik. subjektů - Stavebnictví","Počet podnik. subjektů - Těžba a dobývání","Počet podnik. subjektů - Ubytování, stravování a pohostinství","Počet podnik. subjektů - Velkoobchod a maloobchod; opravy a údržba motorových vozid","Počet podnik. subjektů - Veřejná správa a obrana; povinné sociální zabezpečení","Počet podnik. subjektů - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného","Počet podnik. subjektů - Vzdělávání","Počet podnik. subjektů - Zásobování vodou; činnosti související s odp. vodami, odpa","Počet podnik. subjektů - Zdravotní a sociální péče","Počet podnik. subjektů - Zemědělství, lesnictví, rybářství","Počet podnik. subjektů - Zpracovatelský průmysl","Počet podnik. subjektů bez zaměstnanců","Počet podnik. subjektů s 1-9 zaměstnanci","Počet podnik. subjektů s 10 - 19 zaměstnanci","Počet podnik. subjektů s 100 - 249 zaměstnanci","Počet podnik. subjektů s 1000 - 2499 zaměstnanci","Počet podnik. subjektů s 20 - 49 zaměstnanci","Počet podnik. subjektů s 250 - 499 zaměstnanci","Počet podnik. subjektů s 2500 a více  zaměstnanci","Počet podnik. subjektů s 50 - 99 zaměstnanci","Počet podnik. subjektů s 500 - 999 zaměstnanci","Počet podnikatelských subjektů celkem","Počet pokojů v ubytovacích zařízeních","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Abertamy","14 406,18","869,68","13 090,71","98,69","586,08","895,86","2 395,92","1 017,04","2,00","145,00","1 050,00","152,00","161,00","312,00","343,00","35,00","47,00","4,00","0,00","0,00","27,00","1,00","2,00","9,00","23,00","207,00","24,00","7,00","14,00","43,00","1,00","31,00","76,00","3,00","0,00","1,00","3,00","1,00","16,00","26,00","90,00","13,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","312,00","53,00","7,00","57,00","1 115,73","17 188,44","18,00","1 886,40","16 072,71","15 302,04","0,00","147,29","0,08","181,90","0,00","513,88","0,00","8,02","6,23","12,27","520,19","58,00","12,00","8,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","55 001,00","378,11","54 232,93","0,00","150,00","8 225,96","11 252,80","3 538,16","1,00",NA,"4 582,00","894,00","691,00","1 304,00","1 381,00","172,00","140,00","12,00","0,00","0,00","73,00","13,00","9,00","25,00","30,00","522,00","63,00","40,00","79,00","105,00","0,00","33,00","171,00","2,00","2,00","12,00","6,00","14,00","28,00","127,00","263,00","48,00","5,00","2,00","0,00","3,00","0,00","0,00","1,00","0,00","844,00",NA,"2,00","137,00","3 538,16","69 173,88","128,00","5 946,91","65 635,72","63 226,97","0,00","229,12","0,05","89,59","0,99","9,56","0,00","14,47","11,37","22,95","21,98","154,00","46,00","61,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","919,84","275,82","1 274,48","0,00","0,00","6,68","28,72","202,96","0,00",NA,"116,00","30,00","17,00","30,00","31,00","3,00","5,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","13,00","0,00","1,00","2,00","1,00","0,00","0,00","7,00","1,00","0,00","0,00","0,00","0,00","3,00","1,00","4,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","19,00",NA,NA,"3,00","202,96","1 506,16","3,00","579,64","1 303,20","926,52","0,00","235,82","14,80","11,62","0,93","2,68","0,00","0,84","5,45","3,68","23,86","2,00","1,00","3,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","8 192,00","103,09","8 405,88","610,00","25,00","2 620,66","551,82","730,67","18,00",NA,"880,00","92,00","190,00","263,00","284,00","27,00","24,00","5,00","0,00","0,00","3,00","5,00","2,00","2,00","7,00","105,00","19,00","10,00","32,00","34,00","0,00","14,00","52,00","3,00","3,00","2,00","0,00","3,00","2,00","19,00","96,00","14,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","217,00",NA,NA,"21,00","1 340,67","10 323,37","67,00","-489,28","8 982,70","10 812,65","0,00","12,42","38,23","12,63","0,36","19,34","0,00","1,00","12,92","6,20","70,84","30,00","4,00","26,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","25 000,24","1 965,47","10 514,35","3 603,06","1 058,39","17 560,59","16 416,46","388,66","1,00","212,00","521,00","92,00","68,00","154,00","164,00","28,00","15,00","1,00","0,00","0,00","4,00","1,00","0,00","5,00","1,00","55,00","7,00","6,00","5,00","16,00","0,00","25,00","10,00","2,00","0,00","1,00","0,00","0,00","17,00","10,00","42,00","11,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","111,00","72,00","8,00","21,00","3 991,72","31 980,92","18,00","-10 579,92","27 989,20","42 560,83","0,00","947,45","465,33","94,90","0,00","429,19","0,00","10,66","4,95","13,00","899,46","8,00","7,00","4,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","3 930,54","1 006,60","5 557,84","54,60","33,45","3 367,24","202,80","744,26","10,00",NA,"464,00","89,00","70,00","122,00","138,00","26,00","19,00","0,00","0,00","0,00","0,00","1,00","1,00","2,00","4,00","47,00","6,00","6,00","1,00","9,00","0,00","2,00","16,00","2,00","0,00","2,00","1,00","0,00","17,00","15,00","25,00","13,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85,00",NA,NA,"23,00","798,86","6 592,95","14,00","-704,82","5 794,09","7 297,77","0,00","576,25","200,89","50,59","0,36","142,72","0,00","6,29","21,86","7,64","365,83","17,00","2,00","7,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","43 853,61","1 268,78","43 654,56","620,98","18,13","4 968,12","5 838,63","2 888,44","14,00",NA,"3 906,00","641,00","579,00","1 161,00","1 218,00","154,00","153,00","8,00","0,00","0,00","13,00","9,00","13,00","21,00","27,00","372,00","59,00","43,00","91,00","60,00","1,00","36,00","144,00","3,00","2,00","7,00","1,00","8,00","32,00","62,00","215,00","47,00","3,00","1,00","0,00","2,00","0,00","0,00","0,00","0,00","640,00",NA,NA,"187,00","3 509,43","53 020,75","110,00","4 199,02","49 511,32","48 821,73","0,00","322,39","495,60","161,12","0,98","133,92","0,00","37,60","74,56","42,61","705,06","154,00","38,00","40,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","7 989,10","522,77","10 837,50","0,00","28,80","5 650,66","2 532,68","267,48","2,00",NA,"980,00","210,00","131,00","277,00","299,00","34,00","29,00","2,00","0,00","0,00","3,00","4,00","6,00","6,00","3,00","150,00","25,00","13,00","19,00","29,00","0,00","15,00","63,00","3,00","0,00","5,00","0,00","1,00","13,00","30,00","77,00","11,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","240,00",NA,NA,"9,00","267,48","13 666,46","25,00","26,70","13 398,98","13 639,76","0,00","336,65","82,29","30,01","0,00","34,20","0,00","11,08","15,42","13,12","131,91","25,00","16,00","12,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","12 544,74","3 672,81","12 747,14","4 529,51","937,80","4 062,01","3 581,44","521,30","2,00","297,00","867,00","185,00","131,00","224,00","264,00","30,00","33,00","1,00","0,00","0,00","6,00","5,00","0,00","5,00","3,00","145,00","22,00","7,00","16,00","34,00","0,00","14,00","46,00","6,00","2,00","1,00","0,00","0,00","39,00","30,00","83,00","6,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","237,00","94,00","5,00","21,00","5 050,81","22 317,18","36,00","5 710,44","17 266,37","16 606,75","0,00","1 349,25","1 546,62","148,11","4,05","297,75","0,00","242,95","46,89","37,19","1 895,32","22,00","7,00","9,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","13 747,45","2 453,99","9 146,39","0,00","3 956,27","1 349,15","2 452,98","696,21","2,00","652,00","341,00","65,00","53,00","99,00","96,00","12,00","16,00","4,00","0,00","0,00","8,00","3,00","4,00","1,00","1,00","73,00","6,00","5,00","9,00","17,00","0,00","33,00","14,00","2,00","0,00","2,00","1,00","0,00","7,00","4,00","40,00","7,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","121,00","217,00","21,00","13,00","696,21","16 251,85","8,00","1 155,25","15 555,64","15 096,60","0,00","2 200,92","0,09","63,96","0,00","159,31","0,00","9,43","9,30","10,97","168,70","8,00","0,00","3,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
