"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet gymnázií","Počet lůžek v ubytovacích zařízeních","Počet mateřských škol","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet pokojů v ubytovacích zařízeních","Počet SOŠ a praktických škol","Počet SOU","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Počet základních škol s 1. st.","Počet základních škol s 2. st.","Počet základních škol úplných","Počet žáků v gymnáziích","Počet žáků v mateřských školách","Počet žáků v SOŠ a praktických školách","Počet žáků v SOU","Počet žáků v základních školách s 1. st.","Počet žáků v základních školách s 2. st.","Počet žáků v základních školách úplných","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Ordinace gynekologa","Ordinace praktického lékaře","Ordinace praktického lékaře pro děti a dorost","Ordinace specialisty","Ordinace stomatologa","Počet lékáren","Domovy pro seniory","Domovy pro seniory - počet míst","Domovy pro osoby se zdravotním postižením","Domovy pro osoby se zdravotním postižením - počet míst","Počet nemocnic","Počet lůžek v nemocnicích"
"Abertamy","18 073,11","869,68","13 869,36","600,51","2 565,03","7 471,73","2 521,18","2 740,55","2,00","0,00","150,00","1,00","1 016,00","153,00","154,00","329,00","302,00","34,00","44,00","53,00","0,00","0,00","7,00","43,00","1,00","0,00","0,00","0,00","27,00","0,00","0,00","30,00","0,00","0,00","3 341,05","22 296,61","14,00","-3 248,23","18 955,56","25 544,84","0,00","147,29","0,08","181,89","0,00","513,90","0,00","7,98","6,23","12,30","520,21","45,00","12,00","9,00","Karlovarský kraj","OSTROV","Karlovy Vary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adamov","59 510,93","378,11","60 658,01","2 192,51","234,26","21 173,80","12 470,99","4 899,55","4,00","0,00",NA,"1,00","4 552,00","928,00","703,00","1 349,00","1 275,00","160,00","137,00",NA,"0,00","0,00","2,00","85,00","0,00","0,00","1,00","0,00","145,00","0,00","0,00","98,00","0,00","202,00","7 092,07","80 455,32","111,00","-229,41","73 363,26","80 684,73","0,00","229,12","0,05","89,60","0,99","9,56","0,00","14,47","11,36","22,96","21,96","168,00","38,00","65,00","Jihomoravský kraj","BLANSKO","Blansko","1,00","1,00","1,00","1,00","1,00","1,00",NA,NA,NA,NA,NA,NA
"Adamov","1 024,98","275,82","1 471,43","0,00","69,14","0,00","32,88","148,93","0,00","0,00",NA,"0,00","123,00","35,00","17,00","32,00","31,00","2,00","6,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","148,93","1 722,37","12,00","697,39","1 573,44","1 024,98","0,00","235,82","14,73","11,77","0,93","2,61","0,00","0,84","5,45","3,68","23,72","6,00","1,00","2,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adamov","6 732,67","103,09","9 639,77","463,56","115,46","3 529,86","699,47","179,65","10,00","0,00",NA,"1,00","917,00","103,00","212,00","286,00","268,00","25,00","23,00",NA,"0,00","0,00",NA,"11,00","0,00","0,00","0,00","0,00","40,00","0,00","0,00","0,00","0,00","0,00","643,21","11 097,90","42,00","835,37","10 454,70","10 262,53","0,00","12,38","38,12","12,66","0,36","19,34","0,00","1,00","12,91","6,31","70,73","18,00","2,00","15,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adršpach","25 860,55","1 965,47","11 814,90","310,94","198,13","7 021,13","10 906,88","1 305,40","2,00","0,00",NA,"1,00","512,00","96,00","67,00","158,00","148,00","28,00","15,00",NA,"0,00","0,00","8,00","24,00","1,00","0,00","0,00","0,00","35,00","0,00","0,00","27,00","0,00","0,00","1 616,34","24 536,24","3,00","-8 345,44","22 919,90","32 881,68","0,00","945,75","465,32","103,77","0,00","422,83","0,00","9,82","4,95","13,03","893,10","16,00","0,00","4,00","Královéhradecký kraj","BROUMOV","Náchod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albrechtice","4 019,67","1 006,59","6 135,96","0,00","38,77","732,26","242,28","623,29","0,00","0,00",NA,"1,00","475,00","97,00","69,00","145,00","124,00","23,00","17,00",NA,"0,00","0,00",NA,"9,00","0,00","0,00","0,00","0,00","24,00","0,00","0,00","0,00","0,00","0,00","623,29","7 040,30","29,00","2 288,38","6 417,01","4 751,92","0,00","576,25","200,88","50,61","0,36","142,71","0,00","6,29","21,86","7,65","365,80","16,00","5,00","3,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA,NA,NA,NA,NA,NA,"1,00","14,00",NA,NA,NA,NA
"Albrechtice","44 384,53","1 268,78","48 352,20","0,00","0,00","6 434,88","6 541,69","3 374,89","5,00","0,00",NA,"2,00","3 873,00","661,00","567,00","1 206,00","1 127,00","167,00","145,00",NA,"0,00","0,00",NA,"145,00","1,00","0,00","1,00","0,00","92,00","0,00","0,00","16,00","0,00","270,00","3 374,89","58 268,78","81,00","7 449,37","54 893,89","50 819,41","0,00","322,39","495,37","161,17","0,98","133,92","0,00","37,60","74,68","42,67","704,95","112,00","36,00","34,00","Moravskoslezský kraj","HAVÍŘOV","Karviná","1,00","1,00","1,00",NA,"1,00","1,00",NA,NA,NA,NA,NA,NA
"Albrechtice nad Orlicí","8 694,07","522,77","12 052,02","0,00","0,00","351,22","2 177,73","240,36","0,00","0,00",NA,"1,00","993,00","207,00","140,00","302,00","281,00","31,00","32,00",NA,"0,00","0,00",NA,"7,00","1,00","0,00","0,00","0,00","38,00","0,00","0,00","49,00","0,00","0,00","240,36","14 470,12","31,00","5 424,83","14 229,76","9 045,29","0,00","336,65","82,25","30,05","0,00","34,20","0,00","11,08","15,42","13,12","131,87","13,00","17,00","12,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albrechtice nad Vltavou","13 922,46","3 672,84","14 239,65","821,95","2 336,72","11 911,96","3 691,44","590,12","2,00","0,00","273,00","1,00","876,00","190,00","134,00","266,00","217,00","41,00","28,00","86,00","0,00","0,00","4,00","20,00","1,00","0,00","0,00","0,00","27,00","0,00","0,00","32,00","0,00","0,00","1 412,08","21 679,90","36,00","-4 154,53","20 267,82","25 834,43","0,00","1 349,75","1 546,61","147,62","4,05","297,76","0,00","242,95","46,88","37,23","1 895,30","25,00","14,00","12,00","Jihočeský kraj","PÍSEK","Písek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albrechtice v Jizerských horách","13 385,10","2 453,99","8 305,79","0,00","2 260,76","6 037,29","2 381,24","431,72","3,00","0,00","515,00","1,00","346,00","66,00","55,00","98,00","102,00","9,00","16,00","164,00","0,00","0,00","17,00","4,00","1,00","0,00","0,00","0,00","23,00","0,00","0,00","35,00","0,00","0,00","431,72","13 379,50","10,00","-6 042,89","12 947,78","19 422,38","0,00","2 201,02","0,09","63,87","0,00","159,27","0,00","9,43","9,30","11,00","168,66","6,00","4,00","5,00","Liberecký kraj","TANVALD","Jablonec n.Nisou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
